id,name,slug,imageUrl,description,price,stock,categoryId,brandId,isActive,createdAt,teaser
11,BioLite HeadLamp 330,biolite-headlamp-330,/images/products/biolite-headlamp-330.png,"<p><strong>BioLite HeadLamp 330</strong> balancerer lav vægt med stærk lysstyrke. Den sidder fladt mod panden uden at hoppe, og den genoplades nemt via USB.</p><p>En god allround-lampe til lejr, reparationer og natlig navigation.</p><ul><li>Komfortabelt, svedafvisende bånd</li><li>Flere lysniveauer og vippefunktion</li><li>USB-opladning – ingen løse batterier</li></ul>",399,45,3,3,true,2025-09-11,"Let, genopladelig pandelampe med komfortabel pasform."
12,BioLite CampStove 2+,biolite-campstove-2-plus,/images/products/biolite-campstove-2-plus.png,"<p><strong>CampStove 2+</strong> omdanner småkviste til effektiv varme og strøm til dine småenheder. Den integrerede powerpack driver en ventilator, der forbedrer forbrændingen.</p><p>Foldbare ben og kompakt design gør den let at pakke i tasken.</p><ul><li>Koger vand hurtigt med naturligt brændsel</li><li>USB-udgang til opladning i felten</li><li>Stål- og aluminiumsopbygning for holdbarhed</li></ul>",1399,9,3,3,true,2025-09-12,"Træfyret komfur der også oplader småenheder."
13,Leatherman Wave+,leatherman-wave-plus,/images/products/leatherman-wave-plus.png,"<p><strong>Leatherman Wave+</strong> er et af de mest alsidige multitools på markedet. Låsbare værktøjer og én-hånds betjening af knivene gør det hurtigt i brug.</p><p>Et solidt valg til reparationer, shelterbyg og daglige opgaver.</p><ul><li>Skær, file, skru og klem med ét værktøj</li><li>Ergonomiske håndtag og præcise tænger</li><li>Rustfast konstruktion til hårdt brug</li></ul>",1199,28,4,4,true,2025-09-13,"Alsidigt multitool med låsbare værktøjer til hårdt brug."
14,IFAK First Aid Kit,ifak-first-aid-kit,/images/products/ifak-first-aid-kit.png,"<p><strong>IFAK First Aid Kit</strong> indeholder nøje udvalgte forsyninger til at håndtere almindelige skader og traumer. Et kompakt, MOLLE-kompatibelt etui sikrer hurtig adgang.</p><p>Ideelt på bæltet, i bilen eller fastgjort til rygsæk.</p><ul><li>Overskuelige lommer og elastikker</li><li>Robust etui med tydelige markeringer</li><li>Plads til at supplere med personlige præferencer</li></ul>",549,34,4,4,true,2025-09-14,"Kompakt førstehjælpskit med essentielle forsyninger og MOLLE."
15,Trauma Shears Pro,trauma-shears-pro,/images/products/trauma-shears-pro.png,"<p><strong>Trauma Shears Pro</strong> er kraftige medicinske saks, designet til sikkert at klippe tøj, bælter og tape tæt på huden. Den afrundede spids beskytter patienten, mens de serraterede blade bider i seje materialer.</p><p>Et must i enhver IFAK eller medic-taske.</p><ul><li>Ergonomiske greb – gode med handsker</li><li>Holdbare materialer og stærk nitte</li><li>Let at desinficere og vedligeholde</li></ul>",149,80,4,4,true,2025-09-15,"Kraftige saks med serraterede blade og spidsbeskytter."
16,MSR Guardian Purifier Bottle,msr-guardian-purifier-bottle,/images/products/msr-guardian-purifier-bottle.png,"<p><strong>Guardian Purifier Bottle</strong> kombinerer drikkeflaske og pumpefilter i én robust løsning. Perfekt til dagsture, hvor du vil rejse let uden at gå på kompromis med vandkvaliteten.</p><p>Brugervenlig betjening og enkel rengøring gør den til en favorit i felten.</p><ul><li>Integreret rensning – ingen separate slanger</li><li>Slagfast flaske med godt greb</li><li>Pålitelig løsning som solo-setup</li></ul>",1899,5,1,5,false,2025-09-16,"Robust flaske med integreret pumpefilter til felten."
17,Hand Crank Radio NOAA,hand-crank-radio-noaa,/images/products/hand-crank-radio-noaa.png,"<p><strong>Hand Crank Radio NOAA</strong> holder dig informeret og i kontakt, når strømmen går. Oplad den via håndsving, sol eller USB, og brug den indbyggede powerbank til telefonen.</p><p>Indbygget lygte og alarmfunktion gør den ekstra nyttig i storme og blackouts.</p><ul><li>AM/FM/WB – modtag vejrvarsler</li><li>Flere opladningsmuligheder</li><li>Kompakt design til hjem og bil</li></ul>",399,52,5,2,true,2025-09-17,"Nødradio med håndsving, lygte og powerbank-funktion."
18,Satellite Communicator Mini,satellite-communicator-mini,/images/products/satellite-communicator-mini.png,"<p><strong>Satellite Communicator Mini</strong> giver SOS og beskeder, selv uden mobildækning. En tydelig nødknap og solid konstruktion skaber tryghed på fjeld, hav og i ødemark.</p><p>Lav vægt, lang batteritid og enkel betjening gør den velegnet til solo-eventyrere.</p><ul><li>Nødopkald via satellit</li><li>Kompakt og let at klipse på udstyr</li><li>Designet til barske forhold</li></ul>",2499,6,5,3,true,2025-09-18,"Kompakt satellitkommunikator med SOS og lang batteritid."
19,Compass Pro Sighting,compass-pro-sighting,/images/products/compass-pro-sighting.png,"<p><strong>Compass Pro Sighting</strong> er et præcist spejlkompas til avanceret navigation. Sigtelinjen og clinometeret gør det let at tage præcise pejlinger og vurdere hældning.</p><p>Sammen med papirkort bliver du uafhængig af batterier og elektronik.</p><ul><li>Spejl for præcis sigtning</li><li>Tydelige skalaer og forstørrelsesfelt</li><li>Snor for sikker brug i terræn</li></ul>",299,40,5,5,true,2025-09-19,"Præcist spejlkompas med clinometer til navigation."
20,Topographic Map Set,topographic-map-set,/images/products/topographic-map-set.png,"<p><strong>Topographic Map Set</strong> samler detaljerede kort over regionen, med højdekurver, vandløb, stier og veje. Perfekt som analog backup til GPS og mobil.</p><p>Marker ruter, planlæg omveje og træn kort/kompas-rutiner hjemmefra.</p><ul><li>Høj læsbarhed og fine detaljer</li><li>Kompatibel med gennemsigtige kortmapper</li><li>Essentielt i ethvert beredskabskit</li></ul>",219,70,5,1,true,2025-09-20,"Detaljerede topografiske kort som analog backup til GPS."
